ustomer_id	ltv	ltv_segment	churn_risk	customer_segment
3751-KTZEL	35.05	Low Value	Low Risk	Low Priority
3841-CONLJ	35.0	Low Value	Low Risk	Low Priority
6917-IAYHD	33.6	Low Value	Low Risk	Low Priority
5868-CZJDR	31.35	Low Value	Low Risk	Low Priority
7590-VHVEG	29.85	Low Value	Low Risk	Low Priority
0032-PGELS	30.5	Low Value	Low Risk	Low Priority
9526-BIHHD	29.7	Low Value	Low Risk	Low Priority
6656-JWRQX	30.55	Low Value	Low Risk	Low Priority
8665-UTDHZ	30.2	Low Value	Low Risk	Low Priority
5999-LCXAO	29.9	Low Value	Low Risk	Low Priority
2209-XADXF	25.25	Low Value	Low Risk	Low Priority
8896-BQTTI	25.0	Low Value	Low Risk	Low Priority
4367-NHWMM	24.9	Low Value	Low Risk	Low Priority
6032-IGALN	25.1	Low Value	Low Risk	Low Priority
3213-VVOLG	25.35	Low Value	Low Risk	Low Priority
2712-SYWAY	25.7	Low Value	Low Risk	Low Priority
0023-HGHWL	25.1	Low Value	Low Risk	Low Priority
2672-DZUOY	25.15	Low Value	Low Risk	Low Priority
8260-NGFNY	25.2	Low Value	Low Risk	Low Priority
7932-WPTDS	24.8	Low Value	Low Risk	Low Priority
7537-RBWEA	25.15	Low Value	Low Risk	Low Priority
4367-NUYAO	25.75	Low Value	Low Risk	Low Priority
2862-PFNIK	24.7	Low Value	Low Risk	Low Priority
1496-GGSUK	25.7	Low Value	Low Risk	Low Priority
7242-QZLXF	25.3	Low Value	Low Risk	Low Priority
2538-OIMXF	24.7	Low Value	Low Risk	Low Priority
6366-ZGQGL	24.8	Low Value	Low Risk	Low Priority
2080-SRCDE	25.4	Low Value	Low Risk	Low Priority
4729-XKASR	24.75	Low Value	Low Risk	Low Priority
0661-XEYAN	25.8	Low Value	Low Risk	Low Priority
4195-NZGTA	25.25	Low Value	Low Risk	Low Priority
0612-RTZZA	25.25	Low Value	Low Risk	Low Priority
3439-GVUSX	24.4	Low Value	Low Risk	Low Priority
7365-BVCJH	24.4	Low Value	Low Risk	Low Priority
3797-VTIDR	23.45	Low Value	Low Risk	Low Priority
5701-SVCWR	24.0	Low Value	Low Risk	Low Priority
9895-VFOXH	24.4	Low Value	Low Risk	Low Priority
9136-ALYBR	24.45	Low Value	Low Risk	Low Priority
1334-FJSVR	24.25	Low Value	Low Risk	Low Priority
2565-JSLRY	24.05	Low Value	Low Risk	Low Priority
9753-OYLBX	20.5	Low Value	Low Risk	Low Priority
4745-LSPLO	20.5	Low Value	Low Risk	Low Priority
0673-IGUQO	20.45	Low Value	Low Risk	Low Priority
6579-JPICP	20.4	Low Value	Low Risk	Low Priority
0426-TIRNE	20.9	Low Value	Low Risk	Low Priority
6728-WYQBC	20.95	Low Value	Low Risk	Low Priority
3803-KMQFW	20.55	Low Value	Low Risk	Low Priority
2592-YKDIF	20.35	Low Value	Low Risk	Low Priority
6982-UQZLY	20.85	Low Value	Low Risk	Low Priority
2480-JZOSN	20.65	Low Value	Low Risk	Low Priority
2111-DWYHN	21.1	Low Value	Low Risk	Low Priority
1099-GODLO	20.35	Low Value	Low Risk	Low Priority
4255-DDUOU	20.5	Low Value	Low Risk	Low Priority
3727-JEZTU	20.4	Low Value	Low Risk	Low Priority
5624-BQSSA	20.95	Low Value	Low Risk	Low Priority
5996-DAOQL	20.45	Low Value	Low Risk	Low Priority
5049-GLYVG	20.6	Low Value	Low Risk	Low Priority
3590-TCXTB	20.35	Low Value	Low Risk	Low Priority
3645-DEYGF	20.75	Low Value	Low Risk	Low Priority
8559-WNQZS	20.45	Low Value	Low Risk	Low Priority
5088-QZLRL	20.65	Low Value	Low Risk	Low Priority
2002-MZHWP	20.5	Low Value	Low Risk	Low Priority
7243-LCGGZ	20.9	Low Value	Low Risk	Low Priority
8267-KFGYD	21.05	Low Value	Low Risk	Low Priority
7434-SHXLS	20.9	Low Value	Low Risk	Low Priority
4634-JLRJT	20.35	Low Value	Low Risk	Low Priority
9708-KFDBY	20.55	Low Value	Low Risk	Low Priority
8262-COGGB	20.45	Low Value	Low Risk	Low Priority
6569-KTMDU	19.1	Low Value	Low Risk	Low Priority
3807-XHCJH	20.0	Low Value	Low Risk	Low Priority
1724-IQWNM	19.3	Low Value	Low Risk	Low Priority
9441-QHEVC	19.1	Low Value	Low Risk	Low Priority
2465-BLLEU	19.75	Low Value	Low Risk	Low Priority
0670-KDOMA	20.25	Low Value	Low Risk	Low Priority
1066-JKSGK	20.15	Low Value	Low Risk	Low Priority
6469-MRVET	20.2	Low Value	Low Risk	Low Priority
5028-HTLJB	20.05	Low Value	Low Risk	Low Priority
7298-IZWLY	19.4	Low Value	Low Risk	Low Priority
8329-IBCTI	19.65	Low Value	Low Risk	Low Priority
0970-QXPXW	19.65	Low Value	Low Risk	Low Priority
6380-ARCEH	20.2	Low Value	Low Risk	Low Priority
7310-EGVHZ	20.2	Low Value	Low Risk	Low Priority
3900-AQPHZ	19.9	Low Value	Low Risk	Low Priority
6849-WLEYG	19.75	Low Value	Low Risk	Low Priority
7878-RTCZG	19.9	Low Value	Low Risk	Low Priority
7853-GVUDZ	20.15	Low Value	Low Risk	Low Priority
9975-SKRNR	18.9	Low Value	Low Risk	Low Priority
7617-EYGLW	19.45	Low Value	Low Risk	Low Priority
7721-DVEKZ	19.65	Low Value	Low Risk	Low Priority
8562-GHPPI	19.8	Low Value	Low Risk	Low Priority
9174-FKWZE	19.45	Low Value	Low Risk	Low Priority
2576-HXMPA	19.55	Low Value	Low Risk	Low Priority
3308-MHOOC	19.2	Low Value	Low Risk	Low Priority
3717-OFRTN	19.75	Low Value	Low Risk	Low Priority
7839-QRKXN	20.2	Low Value	Low Risk	Low Priority
1905-OEILC	19.5	Low Value	Low Risk	Low Priority
2081-KJSQF	20.25	Low Value	Low Risk	Low Priority
1156-ZFYDO	19.75	Low Value	Low Risk	Low Priority
6615-ZGEDR	19.7	Low Value	Low Risk	Low Priority
5906-BFOZT	19.5	Low Value	Low Risk	Low Priority
4661-NJEUX	20.05	Low Value	Low Risk	Low Priority
0107-WESLM	19.85	Low Value	Low Risk	Low Priority
5562-BETPV	19.65	Low Value	Low Risk	Low Priority
8073-IJDCM	20.3	Low Value	Low Risk	Low Priority
5356-RHIPP	20.2	Low Value	Low Risk	Low Priority
2876-VBBBL	20.25	Low Value	Low Risk	Low Priority
1725-MIMXW	19.45	Low Value	Low Risk	Low Priority
1934-SJVJK	20.15	Low Value	Low Risk	Low Priority
7814-LEEVE	20.3	Low Value	Low Risk	Low Priority
2542-HYGIQ	19.95	Low Value	Low Risk	Low Priority
4781-ZXYGU	20.15	Low Value	Low Risk	Low Priority
1135-LMECX	19.85	Low Value	Low Risk	Low Priority
2654-VBVPB	19.9	Low Value	Low Risk	Low Priority
2866-IKBTM	19.55	Low Value	Low Risk	Low Priority
3785-NRHYR	19.65	Low Value	Low Risk	Low Priority
1423-BMPBQ	19.0	Low Value	Low Risk	Low Priority
2220-IAHLS	19.4	Low Value	Low Risk	Low Priority
8974-OVACP	20.15	Low Value	Low Risk	Low Priority
5868-YTYKS	20.25	Low Value	Low Risk	Low Priority
3373-YZZYM	19.2	Low Value	Low Risk	Low Priority
7698-YFGEZ	20.0	Low Value	Low Risk	Low Priority
0927-CNGRH	19.55	Low Value	Low Risk	Low Priority
4588-YBNIB	19.6	Low Value	Low Risk	Low Priority
7291-CDTMJ	19.65	Low Value	Low Risk	Low Priority
3030-ZKIWL	20.05	Low Value	Low Risk	Low Priority
7926-IJOOU	19.3	Low Value	Low Risk	Low Priority
3148-BLQJT	20.1	Low Value	Low Risk	Low Priority
1029-QFBEN	19.55	Low Value	Low Risk	Low Priority
4291-HPAXL	19.85	Low Value	Low Risk	Low Priority
7601-WFVZV	19.55	Low Value	Low Risk	Low Priority
6121-VZNQB	19.1	Low Value	Low Risk	Low Priority
5515-IDEJJ	19.9	Low Value	Low Risk	Low Priority
7644-OMVMY	19.85	Low Value	Low Risk	Low Priority
6124-ACRHJ	19.75	Low Value	Low Risk	Low Priority
8605-ITULD	19.55	Low Value	Low Risk	Low Priority
4232-JGKIY	19.2	Low Value	Low Risk	Low Priority
2812-SFXMJ	20.05	Low Value	Low Risk	Low Priority
2520-SGTTA	20.0	Low Value	Low Risk	Low Priority
2676-ISHSF	20.3	Low Value	Low Risk	Low Priority
4897-QSUYC	20.15	Low Value	Low Risk	Low Priority
0761-AETCS	19.3	Low Value	Low Risk	Low Priority
4800-VHZKI	19.9	Low Value	Low Risk	Low Priority
7551-JOHTI	19.5	Low Value	Low Risk	Low Priority
4760-XOHVN	19.45	Low Value	Low Risk	Low Priority
7989-CHGTL	19.6	Low Value	Low Risk	Low Priority
7096-UCLNH	20.05	Low Value	Low Risk	Low Priority
1064-FBXNK	19.85	Low Value	Low Risk	Low Priority
9318-NKNFC	18.85	Low Value	Low Risk	Low Priority
6141-OOXUQ	19.65	Low Value	Low Risk	Low Priority
8393-JMVMB	19.45	Low Value	Low Risk	Low Priority
8566-YPRGL	19.5	Low Value	Low Risk	Low Priority
0247-SLUJI	19.7	Low Value	Low Risk	Low Priority
4786-UKSNZ	20.2	Low Value	Low Risk	Low Priority
8305-VHZBZ	20.2	Low Value	Low Risk	Low Priority
1663-MHLHE	19.2	Low Value	Low Risk	Low Priority
1349-WXNGG	20.05	Low Value	Low Risk	Low Priority
1000-AJSLD	20.1	Low Value	Low Risk	Low Priority
7302-ZHMHP	19.15	Low Value	Low Risk	Low Priority
1098-TDVUQ	19.25	Low Value	Low Risk	Low Priority
8203-XJZRC	20.25	Low Value	Low Risk	Low Priority
3247-MHJKM	20.2	Low Value	Low Risk	Low Priority
8048-DSDFQ	20.2	Low Value	Low Risk	Low Priority
9103-CXVOK	19.75	Low Value	Low Risk	Low Priority
4877-EVATK	20.0	Low Value	Low Risk	Low Priority
3506-LCJDC	19.95	Low Value	Low Risk	Low Priority
5510-BOIUJ	19.25	Low Value	Low Risk	Low Priority
2320-JRSDE	19.9	Low Value	Low Risk	Low Priority
5143-WMWOG	19.95	Low Value	Low Risk	Low Priority
