CustomerID,Actual Churn,Churn Probability,Predicted Churn,Risk Level
9408-SSNVZ,1,46.7,0,Medium Risk
0742-MOABM,1,44.54,0,Medium Risk
2232-DMLXU,1,51.91,1,Medium Risk
8937-RDTHP,1,15.55,0,Low Risk
1251-KRREG,1,78.76,1,High Risk
0094-OIFMO,1,58.98,1,Medium Risk
9947-OTFQU,1,57.56,1,Medium Risk
0322-YINQP,1,38.92,0,Medium Risk
4629-NRXKX,1,70.1,1,High Risk
9514-JDSKI,1,86.84,1,High Risk
4959-JOSRX,1,67.74,1,High Risk
7273-TEFQD,1,88.95,1,High Risk
3606-TWKGI,1,86.47,1,High Risk
6323-AYBRX,1,0.4,0,Low Risk
4385-GZQXV,1,67.92,1,High Risk
6366-ZGQGL,1,53.0,1,Medium Risk
5940-AHUHD,1,65.32,1,High Risk
6432-TWQLB,1,84.57,1,High Risk
4484-GLZOU,1,90.11,1,High Risk
9512-UIBFX,1,44.66,0,Medium Risk
5583-SXDAG,1,76.58,1,High Risk
3488-PGMQJ,1,78.08,1,High Risk
3580-REOAC,1,43.94,0,Medium Risk
7534-BFESC,1,52.84,1,Medium Risk
6390-DSAZX,1,69.6,1,High Risk
8098-LLAZX,1,86.07,1,High Risk
0265-EDXBD,1,70.08,1,High Risk
7563-BIUPC,1,66.52,1,High Risk
2321-OMBXY,1,17.69,0,Low Risk
2840-XANRC,1,86.69,1,High Risk
5020-ZSTTY,1,7.27,0,Low Risk
5804-LEPIM,1,79.71,1,High Risk
0122-OAHPZ,1,89.99,1,High Risk
2868-SNELZ,1,70.93,1,High Risk
4322-RCYMT,1,13.6,0,Low Risk
6680-NENYN,1,50.48,1,Medium Risk
1343-EHPYB,1,50.14,1,Medium Risk
2034-GDRCN,1,84.75,1,High Risk
0219-YTZUE,1,84.44,1,High Risk
0623-IIHUG,1,70.27,1,High Risk
4572-DVCGN,1,69.48,1,High Risk
9057-MSWCO,1,50.09,1,Medium Risk
1010-DIAUQ,1,74.3,1,High Risk
0259-GBZSH,1,88.75,1,High Risk
9601-BRXPO,1,88.11,1,High Risk
6905-NIQIN,1,55.27,1,Medium Risk
5167-ZFFMM,1,75.08,1,High Risk
4895-TMWIR,1,31.54,0,Medium Risk
0533-BNWKF,1,68.39,1,High Risk
6599-CEBNN,1,31.37,0,Medium Risk
0979-PHULV,1,47.38,0,Medium Risk
4800-VHZKI,1,45.63,0,Medium Risk
7989-CHGTL,1,61.31,1,High Risk
0334-GDDSO,1,88.9,1,High Risk
0578-SKVMF,1,88.44,1,High Risk
5564-NEMQO,1,71.88,1,High Risk
9063-ZGTUY,1,4.21,0,Low Risk
2957-LOLHO,1,53.01,1,Medium Risk
7752-XUSCI,1,41.62,0,Medium Risk
4110-PFEUZ,1,45.96,0,Medium Risk
0256-LTHVJ,1,75.17,1,High Risk
0880-TKATG,1,83.61,1,High Risk
3811-VBYBZ,1,82.01,1,High Risk
4640-UHDOS,1,36.93,0,Medium Risk
3583-EKAPL,1,58.03,1,Medium Risk
9399-APLBT,1,62.94,1,High Risk
2359-KMGLI,1,92.79,1,High Risk
0306-JAELE,1,80.41,1,High Risk
6227-HWPWX,1,27.85,0,Low Risk
0447-BEMNG,1,34.88,0,Medium Risk
5949-XIKAE,1,89.54,1,High Risk
8372-JUXUI,1,81.87,1,High Risk
0388-EOPEX,1,66.7,1,High Risk
8205-OTCHB,1,24.29,0,Low Risk
6235-VDHOM,1,55.49,1,Medium Risk
7783-YKGDV,1,59.79,1,Medium Risk
5609-CEBID,1,60.7,1,High Risk
7218-HKQFK,1,87.55,1,High Risk
4636-QRJKY,1,78.42,1,High Risk
5956-VKDTT,1,83.62,1,High Risk
9412-GHEEC,1,35.93,0,Medium Risk
0257-ZESQC,1,30.24,0,Medium Risk
6825-UYPFK,1,35.87,0,Medium Risk
8397-MVTAZ,1,58.8,1,Medium Risk
9282-IZGQK,1,63.37,1,High Risk
1342-JPNKI,1,71.74,1,High Risk
2817-NTQDO,1,56.26,1,Medium Risk
6986-IJDHX,1,62.77,1,High Risk
5301-GAUUY,1,24.87,0,Low Risk
0939-YAPAF,1,70.27,1,High Risk
4710-FDUIZ,1,32.8,0,Medium Risk
1218-VKFPE,1,4.73,0,Low Risk
3627-FHKBK,1,23.18,0,Low Risk
2865-TCHJW,1,67.57,1,High Risk
5192-EBGOV,1,93.82,1,High Risk
0719-SYFRB,1,23.55,0,Low Risk
3419-SNJJD,1,45.75,0,Medium Risk
6543-CPZMK,1,72.94,1,High Risk
4765-OXPPD,1,35.02,0,Medium Risk
1009-IRMNA,1,20.13,0,Low Risk
4554-YGZIH,1,56.56,1,Medium Risk
5099-BAILX,1,70.0,1,High Risk
7207-RMRDB,1,83.66,1,High Risk
4913-EHYUI,1,37.24,0,Medium Risk
0195-IESCP,1,80.26,1,High Risk
4580-TMHJU,1,55.52,1,Medium Risk
0970-ETWGE,1,91.08,1,High Risk
1626-ERCMM,1,92.53,1,High Risk
0887-HJGAR,1,64.09,1,High Risk
5644-PDMZC,1,77.32,1,High Risk
9576-ANLXO,1,31.49,0,Medium Risk
2024-BASKD,1,87.26,1,High Risk
4160-AMJTL,1,14.42,0,Low Risk
4464-JCOLN,1,15.18,0,Low Risk
5650-VDUDS,1,66.58,1,High Risk
7538-GWHML,1,79.17,1,High Risk
3859-CVCET,1,37.98,0,Medium Risk
3276-HDUEG,1,86.97,1,High Risk
0823-HSCDJ,1,35.11,0,Medium Risk
0822-GAVAP,1,60.82,1,High Risk
1448-PWKYE,1,81.15,1,High Risk
0067-DKWBL,1,69.54,1,High Risk
2276-YDAVZ,1,71.91,1,High Risk
5896-NPFWW,1,71.1,1,High Risk
7133-VBDCG,1,23.5,0,Low Risk
1029-QFBEN,1,28.53,0,Low Risk
4952-YSOGZ,1,94.54,1,High Risk
1589-AGTLK,1,78.13,1,High Risk
5244-IRFIH,1,84.46,1,High Risk
2684-EIWEO,1,54.35,1,Medium Risk
6439-GTPCA,1,55.42,1,Medium Risk
5138-WVKYJ,1,78.98,1,High Risk
6683-VLCTZ,1,93.04,1,High Risk
2189-WWOEW,1,62.63,1,High Risk
1894-IGFSG,1,66.15,1,High Risk
7379-POKDZ,1,83.31,1,High Risk
0236-HFWSV,1,85.97,1,High Risk
3900-AQPHZ,1,38.33,0,Medium Risk
5842-POCOP,1,55.49,1,Medium Risk
2037-XJFUP,1,48.71,0,Medium Risk
7314-OXENN,1,82.54,1,High Risk
0322-CHQRU,1,67.29,1,High Risk
4678-DVQEO,1,39.59,0,Medium Risk
0691-IFBQW,1,44.57,0,Medium Risk
3009-JWMPU,1,28.05,0,Low Risk
1450-GALXR,1,62.31,1,High Risk
3138-BKYAV,1,63.25,1,High Risk
4289-DTDKW,1,76.65,1,High Risk
1820-TQVEV,1,90.27,1,High Risk
2239-JALAW,1,34.06,0,Medium Risk
4853-RULSV,1,6.38,0,Low Risk
6275-YDUVO,1,78.43,1,High Risk
0115-TFERT,1,70.87,1,High Risk
2311-QYMUQ,1,42.84,0,Medium Risk
3643-AHCFP,1,78.27,1,High Risk
3104-OWCGK,1,27.02,0,Low Risk
9101-BWFSS,1,16.31,0,Low Risk
9231-ZJYAM,1,81.81,1,High Risk
6982-SSHFK,1,36.24,0,Medium Risk
0727-BMPLR,1,50.46,1,Medium Risk
1038-ZAGBI,1,23.76,0,Low Risk
3027-ZTDHO,1,78.85,1,High Risk
2382-BCKQJ,1,39.57,0,Medium Risk
2207-NHRJK,1,60.65,1,High Risk
0947-MUGVO,1,76.01,1,High Risk
9944-HKVVB,1,79.1,1,High Risk
4124-MMETB,1,74.01,1,High Risk
3671-SHRSP,1,76.58,1,High Risk
3313-QKNKB,1,17.38,0,Low Risk
5073-WXOYN,1,39.37,0,Medium Risk
0207-MDKNV,1,73.91,1,High Risk
9851-KIELU,1,55.67,1,Medium Risk
3908-BLSYF,1,50.57,1,Medium Risk
7549-MYGPK,1,49.15,0,Medium Risk
3804-RVTGV,1,52.08,1,Medium Risk
9227-LUNBG,1,51.54,1,Medium Risk
4315-MURBD,1,61.61,1,High Risk
9734-YWGEX,1,72.31,1,High Risk
2719-BDAQO,1,51.37,1,Medium Risk
0781-LKXBR,1,81.12,1,High Risk
1907-UBQFC,1,69.38,1,High Risk
6513-EECDB,1,89.5,1,High Risk
7074-IEVOJ,1,86.14,1,High Risk
9625-QSTYE,1,63.12,1,High Risk
4750-ZRXIU,1,81.52,1,High Risk
6400-BWQKW,1,88.68,1,High Risk
6680-WKXRZ,1,68.48,1,High Risk
7028-DVOIQ,1,51.94,1,Medium Risk
4208-UFFGW,1,55.62,1,Medium Risk
9448-REEVD,1,49.72,0,Medium Risk
9117-SHLZX,1,66.08,1,High Risk
9889-TMAHG,1,73.58,1,High Risk
4541-RMRLG,1,26.84,0,Low Risk
3158-MOERK,1,91.21,1,High Risk
7294-TMAOP,1,71.11,1,High Risk
8919-FYFQZ,1,27.36,0,Low Risk
2834-JRTUA,1,27.08,0,Low Risk
5875-YPQFJ,1,80.64,1,High Risk
6646-QVXLR,1,28.5,0,Low Risk
8603-IJWDN,1,90.91,1,High Risk
9369-XFEHK,1,46.49,0,Medium Risk
3842-IYKUE,1,19.09,0,Low Risk
6641-XRPSU,1,42.41,0,Medium Risk
1374-DMZUI,1,81.83,1,High Risk
8357-EQXFO,1,79.66,1,High Risk
1989-PRJHP,1,74.57,1,High Risk
9524-EGPJC,1,70.35,1,High Risk
6993-OHLXR,1,78.95,1,High Risk
8818-XYFCQ,1,70.34,1,High Risk
4695-VADHF,1,19.61,0,Low Risk
3863-IUBJR,1,23.53,0,Low Risk
4822-RVYBB,1,86.24,1,High Risk
8436-BJUMM,1,83.91,1,High Risk
4184-TJFAN,1,58.48,1,Medium Risk
4145-UQXUQ,1,77.3,1,High Risk
9948-YPTDG,1,58.78,1,Medium Risk
1236-WFCDV,1,46.59,0,Medium Risk
4883-QICIH,1,58.09,1,Medium Risk
8329-IBCTI,1,43.15,0,Medium Risk
1271-SJBGZ,1,65.7,1,High Risk
5669-SRAIP,1,74.09,1,High Risk
5981-ITEMU,1,73.34,1,High Risk
6941-PMGEP,1,75.47,1,High Risk
1624-WOIWJ,1,55.98,1,Medium Risk
2074-GKOWZ,1,78.17,1,High Risk
0376-YMCJC,1,53.62,1,Medium Risk
0634-SZPQA,1,71.66,1,High Risk
5536-RTPWK,1,75.38,1,High Risk
6166-ILMNY,1,50.24,1,Medium Risk
3097-NNSPB,1,49.91,0,Medium Risk
0655-RBDUG,1,44.88,0,Medium Risk
4361-BKAXE,1,67.28,1,High Risk
9878-TNQGW,1,82.08,1,High Risk
4441-NIHPT,1,53.01,1,Medium Risk
8999-BOHSE,1,71.13,1,High Risk
7029-RPUAV,1,73.46,1,High Risk
4607-CHPCA,1,63.65,1,High Risk
8824-RWFXJ,1,41.68,0,Medium Risk
9763-PDTKK,1,57.1,1,Medium Risk
7627-JKIAZ,1,52.18,1,Medium Risk
4081-DYXAV,1,41.66,0,Medium Risk
8111-SLLHI,1,75.06,1,High Risk
0927-LCSMG,1,64.86,1,High Risk
8257-RZAHR,1,47.67,0,Medium Risk
5293-WXJAK,1,83.73,1,High Risk
0841-NULXI,1,76.47,1,High Risk
7851-WZEKY,1,84.95,1,High Risk
8844-TONUD,1,90.51,1,High Risk
4086-YQSNZ,1,88.44,1,High Risk
5868-CZJDR,1,60.51,1,High Risk
0135-NMXAP,1,76.24,1,High Risk
6270-OMFIW,1,25.15,0,Low Risk
0107-WESLM,1,37.1,0,Medium Risk
3992-YWPKO,1,76.75,1,High Risk
0125-LZQXK,1,70.82,1,High Risk
8399-YNDCH,1,51.11,1,Medium Risk
5673-FSSMF,1,89.95,1,High Risk
1579-KLYDT,1,86.06,1,High Risk
3927-NLNRY,1,29.36,0,Low Risk
6358-LYNGM,1,80.88,1,High Risk
5494-HECPR,1,82.18,1,High Risk
9824-BEMCV,1,72.5,1,High Risk
1373-ORVIZ,1,50.76,1,Medium Risk
9866-QEVEE,1,55.42,1,Medium Risk
9897-KXHCM,1,80.36,1,High Risk
7979-CORPM,1,63.02,1,High Risk
1618-CFHME,1,86.59,1,High Risk
3165-HDOEW,1,54.64,1,Medium Risk
6581-NQCBA,1,68.29,1,High Risk
1689-MRZQR,1,66.2,1,High Risk
5835-BEQEU,1,69.05,1,High Risk
5565-FILXA,1,85.97,1,High Risk
5552-ZNFSJ,1,71.46,1,High Risk
2223-KAGMX,1,32.0,0,Medium Risk
7321-PKUYW,1,61.54,1,High Risk
2833-SLKDQ,1,61.84,1,High Risk
7595-EUIVN,1,69.33,1,High Risk
2026-TGDHM,1,69.05,1,High Risk
4030-VPZBD,1,74.9,1,High Risk
4187-CINZD,1,44.64,0,Medium Risk
6818-WOBHJ,1,37.58,0,Medium Risk
2408-TZMJL,1,48.83,0,Medium Risk
9134-CEQMF,1,91.09,1,High Risk
7993-PYKOF,1,64.41,1,High Risk
5027-XWQHA,1,46.24,0,Medium Risk
4566-QVRRW,1,57.25,1,Medium Risk
8519-IMDHU,1,66.37,1,High Risk
0201-OAMXR,1,19.75,0,Low Risk
3372-KWFBM,1,83.49,1,High Risk
7831-QGOXH,1,81.01,1,High Risk
6393-WRYZE,1,87.13,1,High Risk
6599-RCLCJ,1,68.86,1,High Risk
9831-BPFRI,1,15.15,0,Low Risk
1725-MIMXW,1,38.5,0,Medium Risk
0031-PVLZI,1,35.04,0,Medium Risk
7206-GZCDC,1,71.59,1,High Risk
4791-QRGMF,1,55.81,1,Medium Risk
1768-ZAIFU,1,88.92,1,High Risk
4671-LXRDQ,1,40.0,0,Medium Risk
1934-SJVJK,1,76.06,1,High Risk
3838-OZURD,1,32.0,0,Medium Risk
9269-CQOOL,1,68.72,1,High Risk
2845-HSJCY,1,71.48,1,High Risk
1184-PJVDB,1,85.15,1,High Risk
9415-DPEWS,1,74.5,1,High Risk
7943-RQCHR,1,89.75,1,High Risk
3793-MMFUH,1,87.45,1,High Risk
3249-ZPQRG,1,73.68,1,High Risk
2568-BRGYX,1,63.83,1,High Risk
7721-JXEAW,1,57.64,1,Medium Risk
7249-WBIYX,1,83.87,1,High Risk
6567-HOOPW,1,86.92,1,High Risk
3164-AALRN,1,55.86,1,Medium Risk
3334-CTHOL,1,46.29,0,Medium Risk
4704-ERYFC,1,53.87,1,Medium Risk
8621-MNIHH,1,56.95,1,Medium Risk
0471-LVHGK,1,54.48,1,Medium Risk
9518-RWHZL,1,12.62,0,Low Risk
5419-CONWX,1,87.81,1,High Risk
6240-EURKS,1,77.02,1,High Risk
6960-HVYXR,1,66.37,1,High Risk
7024-OHCCK,1,83.53,1,High Risk
7861-UVUFT,1,77.02,1,High Risk
5357-TZHPP,1,67.61,1,High Risk
0680-DFNNY,1,87.83,1,High Risk
7767-UXAGJ,1,59.3,1,Medium Risk
1571-SAVHK,1,69.81,1,High Risk
9546-CQJSU,1,83.31,1,High Risk
0506-LVNGN,1,68.74,1,High Risk
2951-QOQTK,1,76.51,1,High Risk
3473-XIIIT,1,86.65,1,High Risk
7893-IXHRQ,1,24.9,0,Low Risk
2952-QAYZF,1,84.63,1,High Risk
4763-PGDPO,1,77.24,1,High Risk
5394-SVGJV,1,73.88,1,High Risk
9283-LZQOH,1,58.11,1,Medium Risk
7079-QRCBC,1,78.01,1,High Risk
5469-CTCWN,1,23.1,0,Low Risk
9851-QXEEQ,1,68.12,1,High Risk
9809-IMGCQ,1,84.71,1,High Risk
5208-HFSBT,1,38.38,0,Medium Risk
3254-YRILK,1,80.08,1,High Risk
2667-WYLWJ,1,24.36,0,Low Risk
0529-ONKER,1,59.85,1,Medium Risk
5240-IJOQT,1,81.33,1,High Risk
1092-GANHU,1,51.0,1,Medium Risk
0661-XEYAN,1,71.99,1,High Risk
7881-EVUAD,1,48.52,0,Medium Risk
5766-XQXMQ,1,39.81,0,Medium Risk
3703-VAVCL,1,77.53,1,High Risk
8519-QJGJD,1,79.65,1,High Risk
6326-MTTXK,1,82.84,1,High Risk
0330-IVZHA,1,47.39,0,Medium Risk
2886-KEFUM,1,56.07,1,Medium Risk
4237-RLAQD,1,45.43,0,Medium Risk
9651-GTSAQ,1,33.76,0,Medium Risk
3186-BAXNB,1,58.59,1,Medium Risk
0637-YLETY,1,68.98,1,High Risk
1157-BQCUW,1,76.04,1,High Risk
2660-EMUBI,1,90.9,1,High Risk
7675-OZCZG,1,71.62,1,High Risk
2003-CKLOR,1,38.57,0,Medium Risk
9254-RBFON,1,18.17,0,Low Risk
1205-WNWPJ,1,34.57,0,Medium Risk
9391-EOYLI,1,88.72,1,High Risk
8387-MOJJT,1,40.71,0,Medium Risk
2761-OCIAX,1,72.42,1,High Risk
3068-OMWZA,1,74.69,1,High Risk
6032-KRXXO,1,75.11,1,High Risk
7459-RRWQZ,1,39.16,0,Medium Risk
4154-AQUGT,1,50.0,0,Medium Risk
3092-IGHWF,1,10.8,0,Low Risk
8017-LXHFA,1,53.56,1,Medium Risk
6352-TWCAU,1,81.08,1,High Risk
2929-QNSRW,1,72.9,1,High Risk
1262-OPMFY,1,67.56,1,High Risk
4248-QPAVC,1,41.85,0,Medium Risk
1899-VXWXM,1,21.74,0,Low Risk
4690-LLKUA,1,37.4,0,Medium Risk
3331-HQDTW,1,51.9,1,Medium Risk
9490-DFPMD,1,69.96,1,High Risk
5442-XSDCW,1,57.85,1,Medium Risk
3049-NDXFL,1,87.66,1,High Risk
8580-AECUZ,1,94.05,1,High Risk
7963-GQRMY,1,68.77,1,High Risk
1228-FZFRV,1,49.95,0,Medium Risk
2058-DCJBE,1,67.32,1,High Risk
5364-XYIRR,1,70.22,1,High Risk
4829-AUOAX,1,39.75,0,Medium Risk
5047-LHVLY,1,67.31,1,High Risk
9158-VCTQB,1,51.62,1,Medium Risk
6311-UEUME,1,59.67,1,Medium Risk
6839-ITVZJ,1,39.58,0,Medium Risk
0375-HVGXO,1,77.46,1,High Risk
8593-WHYHV,1,75.39,1,High Risk
6097-EQISJ,1,33.15,0,Medium Risk
4423-YLHDV,1,68.79,1,High Risk
0107-YHINA,1,91.58,1,High Risk
8640-SDGKB,1,59.32,1,Medium Risk
4116-TZAQJ,1,39.73,0,Medium Risk
3877-JRJIP,1,55.93,1,Medium Risk
8375-DKEBR,1,68.58,1,High Risk
7511-YMXVQ,1,85.46,1,High Risk
7551-JOHTI,1,23.81,0,Low Risk
9804-ICWBG,1,75.43,1,High Risk
5318-IXUZF,1,53.17,1,Medium Risk
3198-VELRD,1,87.08,1,High Risk
9436-ZBZCT,1,80.68,1,High Risk
7279-BUYWN,1,55.89,1,Medium Risk
7156-MHUGY,1,86.64,1,High Risk
7198-GLXTC,1,76.7,1,High Risk
0516-VRYBW,1,14.66,0,Low Risk
8380-PEFPE,1,59.31,1,Medium Risk
5687-DKDTV,1,34.74,0,Medium Risk
7530-HDYDS,1,47.9,0,Medium Risk
3096-IZETN,1,67.69,1,High Risk
5922-ABDVO,1,81.57,1,High Risk
9172-ANCRX,1,72.66,1,High Risk
6910-HADCM,1,77.52,1,High Risk
4816-LXZYW,1,78.26,1,High Risk
9606-PBKBQ,1,79.55,1,High Risk
3536-IQCTX,1,77.85,1,High Risk
4911-BANWH,1,53.68,1,Medium Risk
8496-EJAUI,1,80.02,1,High Risk
3132-TVFDZ,1,27.17,0,Low Risk
8080-DDEMJ,1,56.89,1,Medium Risk
6365-MTGZX,1,72.55,1,High Risk
1349-WXNGG,1,24.77,0,Low Risk
6990-YNRIO,1,4.56,0,Low Risk
0621-TWIEM,1,34.03,0,Medium Risk
2485-ITVKB,1,65.18,1,High Risk
3669-OYSJI,1,36.25,0,Medium Risk
1612-EOHDH,1,52.34,1,Medium Risk
6702-OHFWR,1,72.71,1,High Risk
4510-PYUSH,1,8.12,0,Low Risk
7517-SAWMO,1,57.93,1,Medium Risk
4143-HHPMK,1,59.8,1,Medium Risk
7054-LGEQW,1,37.8,0,Medium Risk
0923-PNFUB,1,36.66,0,Medium Risk
3494-JCHRQ,1,74.32,1,High Risk
6474-FVJLC,1,86.92,1,High Risk
8840-DQLGN,1,23.09,0,Low Risk
4547-LYTDD,1,85.02,1,High Risk
6770-XUAGN,1,67.13,1,High Risk
4193-ORFCL,1,58.76,1,Medium Risk
7776-QWNFX,1,22.44,0,Low Risk
6689-TCZHQ,1,66.42,1,High Risk
3143-ILDAL,1,56.15,1,Medium Risk
4720-VSTSI,1,40.37,0,Medium Risk
3946-MHCZW,1,42.27,0,Medium Risk
6651-AZVTJ,1,71.09,1,High Risk
4566-GOLUK,1,65.74,1,High Risk
2484-DGXPZ,1,42.78,0,Medium Risk
4587-NUKOX,1,74.01,1,High Risk
0420-BWTPW,1,51.17,1,Medium Risk
8183-ONMXC,1,69.49,1,High Risk
9614-RMGHA,1,40.59,0,Medium Risk
5054-IEXZT,1,71.78,1,High Risk
5834-ASPWA,1,88.8,1,High Risk
3948-XHGNA,1,14.3,0,Low Risk
0565-IYCGT,1,5.63,0,Low Risk
5445-UTODQ,1,90.28,1,High Risk
1024-VRZHF,1,74.91,1,High Risk
9497-QCMMS,1,82.35,1,High Risk
0348-SDKOL,1,22.76,0,Low Risk
4373-MAVJG,1,76.12,1,High Risk
8901-HJXTF,1,68.76,1,High Risk
5419-KLXBN,1,80.34,1,High Risk
3424-NMNBO,1,50.45,1,Medium Risk
4514-GFCFI,1,58.53,1,Medium Risk
9828-AOQLM,1,63.49,1,High Risk
8000-REIQB,1,84.51,1,High Risk
7615-ESMYF,1,81.16,1,High Risk
3858-VOBET,1,42.41,0,Medium Risk
1447-PJGGA,1,17.95,0,Low Risk
8565-CLBZW,1,65.49,1,High Risk
9139-WQQDY,1,44.93,0,Medium Risk
0224-HJAPT,1,74.39,1,High Risk
8086-OVPWV,1,82.69,1,High Risk
9430-FRQOC,1,71.33,1,High Risk
3074-GQWYX,1,88.95,1,High Risk
6845-RGTYS,1,61.49,1,High Risk
8861-HGGKB,1,72.25,1,High Risk
7065-YUNRY,1,54.16,1,Medium Risk
7694-VLBWQ,1,34.81,0,Medium Risk
4795-KTRTH,1,84.94,1,High Risk
6481-OGDOO,1,26.66,0,Low Risk
3753-TSEMP,1,72.38,1,High Risk
8305-VHZBZ,1,47.86,0,Medium Risk
9172-JITSM,1,89.85,1,High Risk
6298-QDFNH,1,63.72,1,High Risk
9961-JBNMK,1,55.78,1,Medium Risk
6173-ITPWD,1,56.69,1,Medium Risk
9734-UYXQI,1,70.64,1,High Risk
2189-UXTKY,1,37.04,0,Medium Risk
4958-GZWIY,1,77.37,1,High Risk
6356-ELRKD,1,65.56,1,High Risk
8624-GIOUT,1,34.87,0,Medium Risk
6179-GJPSO,1,24.45,0,Low Risk
3177-LASXD,1,69.56,1,High Risk
4897-QSUYC,1,15.0,0,Low Risk
1084-UQCHV,1,70.71,1,High Risk
8290-YWKHZ,1,87.18,1,High Risk
2955-BJZHG,1,65.46,1,High Risk
3806-DXQOM,1,44.52,0,Medium Risk
9300-RENDD,1,77.64,1,High Risk
0761-AETCS,1,30.08,0,Medium Risk
2153-MREFK,1,43.65,0,Medium Risk
3106-ULWFW,1,75.76,1,High Risk
0925-VYDLG,1,81.08,1,High Risk
4349-GFQHK,1,52.65,1,Medium Risk
7802-EFKNY,1,70.34,1,High Risk
8035-BUYVG,1,54.32,1,Medium Risk
9787-XVQIU,1,80.39,1,High Risk
8945-MUQUF,1,27.99,0,Low Risk
8051-HJRLT,1,87.98,1,High Risk
3023-GFLBR,1,54.85,1,Medium Risk
0524-IAVZO,1,63.9,1,High Risk
2737-YNGYW,1,60.33,1,High Risk
5159-YFPKQ,1,61.96,1,High Risk
4021-RQSNY,1,74.74,1,High Risk
9061-TIHDA,1,85.21,1,High Risk
8699-ASUFO,1,64.61,1,High Risk
7927-AUXBZ,1,32.5,0,Medium Risk
4695-WJZUE,1,58.63,1,Medium Risk
7619-ODSGN,1,14.93,0,Low Risk
3988-RQIXO,1,91.15,1,High Risk
2514-GINMM,1,80.26,1,High Risk
5931-FLJJF,1,62.48,1,High Risk
2659-VXMWZ,1,21.92,0,Low Risk
3207-OYBWH,1,19.7,0,Low Risk
4285-GYRQC,1,70.77,1,High Risk
7216-EWTRS,1,82.09,1,High Risk
8337-MSSXB,1,76.14,1,High Risk
8182-BJDSI,1,75.44,1,High Risk
2528-HFYZX,1,58.19,1,Medium Risk
2482-CZGBB,1,33.96,0,Medium Risk
0866-QLSIR,1,3.01,0,Low Risk
7181-BQYBV,1,68.48,1,High Risk
6204-IEUXJ,1,60.99,1,High Risk
4529-CKBCL,1,83.68,1,High Risk
2506-CLAKW,1,63.35,1,High Risk
1583-IHQZE,1,74.08,1,High Risk
0151-ONTOV,1,67.52,1,High Risk
4140-MUHUG,1,79.72,1,High Risk
0320-JDNQG,1,60.82,1,High Risk
7180-PISOG,1,97.29,1,High Risk
3571-RFHAR,1,34.09,0,Medium Risk
9578-VRMNM,1,63.84,1,High Risk
1587-FKLZB,1,64.45,1,High Risk
6140-QNRQQ,1,82.93,1,High Risk
4307-KTUMW,1,65.23,1,High Risk
5440-FLBQG,1,36.64,0,Medium Risk
7470-MCQTK,1,78.63,1,High Risk
7488-MXJIV,1,79.63,1,High Risk
2027-FECZV,1,88.41,1,High Risk
2672-DZUOY,1,75.77,1,High Risk
3870-MQAMG,1,43.91,0,Medium Risk
